Text,Amount,Category
I bought lunch and paid $111 at work,111,Food
I grabbed a quick bite at sandwich shop and paid $37 for takeout,37,Food
I purchased ingredients and spent $138 for cooking dinner,138,Food
I had takeout and paid $115 at the McDonald's,115,Food
I spent $128 on food for the party,128,Food
I spent $150 on food shopping today,150,Food
I purchased groceries for the week for $131,131,Food
I picked up some groceries and spent $114 at Whole Foods,114,Food
I ordered dinner delivery and paid $56 after work,56,Food
We went out for lunch and paid $58 with colleagues,58,Food
We went out for lunch and paid $92 with colleagues,92,Food
I treated myself to dinner and paid $56,56,Food
I got dessert and paid $56,56,Food
I bought snacks and paid $69 for the road trip,69,Food
We went out for lunch and paid $92 with colleagues,92,Food
I spent $50 on food shopping today,50,Food
I treated myself to takeout and paid $63,63,Food
I spent $120 on food shopping today,120,Food
I got dessert and paid $95,95,Food
I purchased ingredients and spent $148 for cooking dinner,148,Food
We had snack night and paid $149 with the family,149,Food
I got brunch on the go and paid $31,31,Food
We ordered takeout and paid $7,7,Food
I paid $81 for breakfast with friends,81,Food
We went out for lunch and paid $148 with colleagues,148,Food
I bought snacks and paid $52 for the road trip,52,Food
I got dessert and paid $118,118,Food
I had fast food and paid $38 at the food court,38,Food
We had delivery night and paid $71 with the family,71,Food
I grabbed a quick bite at burger joint and paid $141 for dinner,141,Food
I picked up some groceries and spent $62 at supermarket,62,Food
We went out for lunch and paid $67 with colleagues,67,Food
I bought snacks and paid $66 for the road trip,66,Food
We went out for lunch and paid $50 with colleagues,50,Food
I spent $61 on food for the party,61,Food
I got delivery on the go and paid $62,62,Food
I grabbed meal from local cafe for $71,71,Food
We enjoyed fast food at sandwich shop for $132,132,Food
I purchased ingredients and spent $18 for cooking dinner,18,Food
I purchased ingredients and spent $63 for cooking dinner,63,Food
I purchased groceries for the week for $50,50,Food
I ordered dinner delivery and paid $83 after work,83,Food
We had dinner night and paid $132 with the family,132,Food
We enjoyed breakfast at burger joint for $27,27,Food
I got dessert and paid $43,43,Food
We enjoyed meal at sandwich shop for $31,31,Food
I purchased groceries for the week for $87,87,Food
I stopped for coffee and paid $29 on my way to work,29,Food
I purchased groceries for the week for $113,113,Food
I picked up some groceries and spent $25 at Costco,25,Food
I spent $48 on food for the party,48,Food
We went out for lunch and paid $78 with colleagues,78,Food
I had quick bite and paid $13 at the bakery,13,Food
I stopped for coffee and paid $59 on my way to work,59,Food
I spent $150 on food shopping today,150,Food
I purchased ingredients and spent $29 for cooking dinner,29,Food
We ordered takeout and paid $97,97,Food
I picked up some groceries and spent $100 at Costco,100,Food
I purchased ingredients and spent $148 for cooking dinner,148,Food
I purchased groceries for the week for $64,64,Food
I spent $19 on food for the party,19,Food
I treated myself to quick bite and paid $23,23,Food
I bought snacks and paid $148 for the road trip,148,Food
I purchased ingredients and spent $150 for cooking dinner,150,Food
I ordered dinner delivery and paid $110 after work,110,Food
I paid $32 for breakfast with friends,32,Food
We went out for lunch and paid $89 with colleagues,89,Food
I picked up some groceries and spent $116 at farmers market,116,Food
I purchased groceries for the week for $113,113,Food
I bought lunch and paid $132 at work,132,Food
I picked up some groceries and spent $108 at supermarket,108,Food
I grabbed a quick bite at coffee shop and paid $73 for brunch,73,Food
We went out for lunch and paid $90 with colleagues,90,Food
I got dessert and paid $41,41,Food
I had fast food and paid $12 at the local cafe,12,Food
I treated myself to dinner and paid $13,13,Food
I bought snacks and paid $62 for the road trip,62,Food
We ordered takeout and paid $143,143,Food
I bought lunch and paid $104 at work,104,Food
We had fast food night and paid $38 with the family,38,Food
I ordered dinner delivery and paid $60 after work,60,Food
I purchased groceries for the week for $79,79,Food
We enjoyed dinner at restaurant for $50,50,Food
I purchased groceries for the week for $76,76,Food
We went out for lunch and paid $128 with colleagues,128,Food
I picked up some groceries and spent $115 at Costco,115,Food
We enjoyed delivery at food court for $144,144,Food
I spent $105 on food shopping today,105,Food
We ordered takeout and paid $99,99,Food
I spent $101 on food for the party,101,Food
I bought snacks and paid $55 for the road trip,55,Food
I paid $66 for breakfast with friends,66,Food
I grabbed breakfast from sushi bar for $64,64,Food
I purchased groceries for the week for $37,37,Food
I spent $133 on food shopping today,133,Food
We ordered takeout and paid $116,116,Food
I paid $149 for breakfast with friends,149,Food
I bought snacks and paid $53 for the road trip,53,Food
I purchased groceries for the week for $113,113,Food
I purchased ingredients and spent $97 for cooking dinner,97,Food
I got dessert and paid $17,17,Food
We had fast food night and paid $49 with the family,49,Food
I ordered dinner delivery and paid $90 after work,90,Food
